Player;Pos;90s;Touches;Received passes;Touches per received pass;Progressive passes
Nikola Vlašić;FW,MF;4;47;33.25;;2.5
Matěj Vydra;FW;4;28;21;;0.5
Theo Walcott;MF;4.2;30.24;20;;0.71
Kyle Walker;DF;12.5;90.8;70.32;1.29;4.48
Kyle Walker-Peters;DF;13;59.15;32.77;1.81;5.38
Aaron Wan-Bissaka;DF;14.9;68.12;42.01;1.62;2.62
Joel Ward;DF;20;72.1;41.9;1.72;2.75
James Ward-Prowse;MF;18.7;65.19;36.15;1.8;3.21
Ollie Watkins;FW;16.1;37.39;27.83;1.34;1.74
Adam Webster;DF;9;90.11;64.33;1.4;5.22
Danny Welbeck;FW,MF;3.5;31.71;22;;0.57
Timo Werner;FW;6.3;35.08;26.19;;1.43
Ashley Westwood;MF;14.8;57.09;34.73;1.64;4.39
Ben White;DF;18;59.56;39.44;1.51;2.33
Brandon Williams;DF;13.6;63.24;36.32;1.74;4.04
Neco Williams;DF;0.1;80;70;;0
Joe Willock;MF;11.7;38.21;22.22;1.72;1.97
Callum Wilson;FW;13.2;23.86;16.52;1.44;0.45
Harry Winks;MF;4.1;76.1;56.59;;8.05
Yoane Wissa;FW;4.9;27.76;18.57;;1.63
Chris Wood;FW;1;35;30;;1
Chris Wood;FW;15.2;29.8;23.36;1.28;1.25
Freddie Woodman;GK;4;32;12.25;;0
Granit Xhaka;MF;9.2;62.72;43.7;1.44;6.41
Andriy Yarmolenko;FW,MF;1.1;60.91;48.18;;3.64
Ashley Young;FW,DF;8.1;45.43;29.63;1.53;2.72
Wilfried Zaha;FW;15.5;51.23;38.77;1.32;4.26
Oleksandr Zinchenko;DF;5.6;94.11;69.82;;6.79
Hakim Ziyech;FW,MF;6.9;56.38;41.01;;4.49
Kurt Zouma;DF;10.8;46.2;26.48;1.74;1.76
Martin Ødegaard;MF;13.5;59.78;44.3;1.35;4.59
